股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
2017,官田鋼,245,211,0,"8,184","8,218","111,718",0,0,0,0,0,"111,718",0,
2020,美亞,0,0,2,651,649,"66,757",0,0,0,0,0,"66,757",0,
2022,聚亨,0,18,0,"2,055","2,037",0,0,0,0,0,0,0,0,OX
2023,燁輝,3,54,0,"2,624","2,573","455,310",0,20,0,4,24,"455,310",0,
2024,志聯,3,0,0,67,70,"24,375",0,0,0,0,0,"24,375",0,
2025,千興,23,0,0,469,492,"43,165",0,0,0,0,0,"43,165",0,
2027,大成鋼,"1,077",218,1,"23,756","24,614","646,065",33,8,0,420,395,"646,065",20,
2028,威致,3,10,0,"1,147","1,140","81,428",0,0,0,0,0,"81,428",0,
2029,盛餘,5,0,15,779,769,"80,295",0,0,0,0,0,"80,295",0,
2030,彰源,317,68,0,"4,105","4,354","70,131",24,0,0,127,103,"70,131",0,
2031,新光鋼,27,22,1,"2,667","2,671","80,286",0,0,0,8,8,"80,286",0,
2032,新鋼,26,7,0,"2,238","2,257","32,630",0,0,0,0,0,"32,630",0,
2033,佳大,230,199,0,"3,177","3,208","20,173",1,3,0,84,86,"20,173",0,
2034,允強,76,201,4,"2,845","2,716","132,248",2,0,0,90,88,"132,248",0,
2038,海光,2,8,2,"3,563","3,555","48,533",0,0,0,0,0,"48,533",0,
2049,上銀,153,217,0,"3,746","3,682","88,448",2,5,0,96,99,"88,448",3,
2059,川湖,25,28,0,720,717,"23,824",0,1,0,10,11,"23,824",0,
2062,橋椿,0,18,0,"1,283","1,265","49,998",0,0,1,1,0,"49,998",0,X
2069,運錩,12,6,0,604,610,"41,596",0,0,0,9,9,"41,596",0,
2101,南港,105,23,0,"19,352","19,434","183,483",0,0,0,0,0,"183,483",0,
2102,泰豐,53,82,12,"3,247","3,206","118,332",0,0,100,142,42,"118,332",0,
2103,台橡,313,388,0,"14,511","14,436","206,427",4,9,0,88,93,"206,427",1,
2104,國際中橡,215,263,0,"19,634","19,586","246,183",0,0,0,45,45,"246,183",0,
2105,正新,83,55,0,"9,374","9,402","810,353",0,0,0,27,27,"810,353",1,
2106,建大,97,0,2,"3,173","3,268","238,722",0,0,0,0,0,"238,722",0,
2107,厚生,1,10,0,120,111,"75,898",0,0,0,0,0,"75,898",0,
2108,南帝,79,54,0,"2,146","2,171","123,104",3,0,0,40,37,"123,104",0,
2109,華豐,66,31,0,684,719,"69,837",0,0,0,0,0,"69,837",0,
2114,鑫永銓,0,2,0,17,15,"19,497",0,0,0,0,0,"19,497",0,
2115,六暉-KY,0,0,0,470,470,"26,093",0,0,0,3,3,"26,093",0,
2201,裕隆,294,166,1,"10,702","10,829","267,500",4,5,0,105,106,"267,500",0,
2204,中華,15,1,1,"1,245","1,258","138,405",0,0,0,0,0,"138,405",0,
2206,三陽工業,1,0,0,"3,153","3,154","193,418",0,0,0,1,1,"193,418",0,
2207,和泰車,0,1,0,47,46,"139,275",0,0,0,0,0,"139,275",0,
2208,台船,0,0,0,0,0,0,0,0,0,0,0,0,0,OX
2211,長榮鋼,7,2,0,576,581,"104,272",0,0,0,0,0,"104,272",0,
2228,劍麟,0,1,4,"1,492","1,487","19,944",0,0,0,0,0,"19,944",0,
2231,為升,8,19,0,"2,636","2,625","33,982",0,0,0,136,136,"33,982",0,
2233,宇隆,37,43,0,"3,448","3,442","15,072",1,10,0,61,70,"15,072",0,
2236,百達-KY,61,2,0,"11,516","11,575","15,782",1,0,0,4,3,"15,782",0,
2239,英利-KY,2,1,0,"1,597","1,598","29,428",0,0,0,0,0,"29,428",0,
2241,艾姆勒,48,7,0,"7,863","7,904","26,150",0,0,0,16,16,"26,150",0,
2243,宏旭-KY,11,1,0,"1,437","1,447","17,343",0,0,0,7,7,"17,343",0,
2247,汎德永業,0,1,0,106,105,"20,177",0,0,0,1,1,"20,177",0,
2248,華勝-KY,4,2,0,601,603,"11,900",0,0,0,0,0,"11,900",0,
2250,IKKA-KY,0,4,1,"1,089","1,084","9,097",0,0,0,0,0,"9,097",0,
2254,巨鎧精密-創,116,0,0,"3,346","3,462","15,976",0,0,0,0,0,"15,976",0,
2301,光寶科,"1,757","1,050",0,"17,732","18,439","579,026",78,12,7,335,262,"579,026",6,
2302,麗正,294,403,0,"4,271","4,162","41,575",3,0,0,140,137,"41,575",10,
2303,聯電,"31,497","22,717",37,"170,213","178,956","3,142,523",65,"2,435",0,"4,944","7,314","3,142,523",104,
2305,全友,"1,252",902,0,"6,782","7,132","51,415",6,81,0,105,180,"51,415",22,
2308,台達電,336,421,4,"9,106","9,017","649,385",2,3,0,34,35,"649,385",2,
2312,金寶,843,321,5,"42,736","43,253","376,492",55,3,0,420,368,"376,492",4,
2313,華通,"5,295","2,330",11,"34,334","37,288","308,455",199,70,0,"1,364","1,235","308,455",86,
2314,台揚,0,0,0,0,0,0,0,0,0,0,0,0,0,OX
2316,楠梓電,75,140,0,"3,934","3,869","45,685",1,5,0,47,51,"45,685",0,
2317,鴻海,869,"1,318",34,"54,095","53,612","3,518,936",43,8,0,531,496,"3,518,936",3,
2321,東訊,0,0,0,0,0,0,0,0,0,0,0,0,0,OX
2323,中環,535,219,0,"30,318","30,634","272,337",0,0,0,13,13,"272,337",0,
2324,仁寶,"6,747","2,967",4,"51,295","55,071","1,101,786",317,16,0,"1,430","1,129","1,101,786",104,
2327,國巨*,"8,792","3,220",5,"43,305","48,872","514,682",253,140,0,720,607,"514,682",144,
2328,廣宇,114,76,26,"15,862","15,874","129,586",26,0,0,108,82,"129,586",0,
2329,華泰,43,47,4,"13,727","13,719","164,737",0,1,0,286,287,"164,737",0,
2330,台積電,715,"1,567",12,"28,381","27,517","6,483,092",1,26,5,25,45,"6,483,092",0,
2331,精英,175,20,1,"9,986","10,140","139,350",6,45,0,126,165,"139,350",0,
2332,友訊,344,255,0,"27,576","27,665","150,542",21,3,0,364,346,"150,542",14,
2337,旺宏,"1,622","1,744",22,"87,249","87,105","495,790",762,120,2,"2,787","2,143","495,790",8,
2338,光罩,92,12,1,"5,111","5,190","75,869",7,27,0,57,77,"75,869",0,
2340,台亞,285,225,0,"7,952","8,012","94,655",12,2,0,64,54,"94,655",0,
2342,茂矽,285,155,0,"3,663","3,793","39,333",0,0,0,37,37,"39,333",1,
2344,華邦電,"5,422","8,287",11,"124,669","121,793","1,125,000",520,359,0,"4,260","4,099","1,125,000",66,
2345,智邦,80,73,0,"2,322","2,329","140,279",8,0,0,23,15,"140,279",0,
2347,聯強,71,43,1,828,855,"416,986",0,0,0,10,10,"416,986",0,
2348,海悅,36,65,0,"2,151","2,122","39,871",0,0,0,11,11,"39,871",0,
2349,錸德,0,0,0,0,0,0,0,0,0,0,0,0,0,OX
2351,順德,"1,342",771,0,"14,966","15,537","48,433",48,76,9,396,415,"48,433",4,
2352,佳世達,401,28,5,"15,036","15,404","395,126",3,2,0,16,15,"395,126",2,
2353,宏碁,"1,291",429,1,"36,450","37,311","761,963",49,0,0,"2,191","2,142","761,963",6,
2354,鴻準,644,658,3,"26,353","26,336","353,621",1,2,0,123,124,"353,621",3,
2355,敬鵬,65,17,1,"8,461","8,508","99,373",1,0,0,39,38,"99,373",0,
2356,英業達,"1,638",445,5,"27,079","28,267","896,868",94,6,0,518,430,"896,868",9,
2357,華碩,178,74,0,"1,685","1,789","185,690",11,1,0,50,40,"185,690",0,
2359,所羅門,191,257,1,"7,598","7,531","42,867",1,8,0,318,325,"42,867",0,
2360,致茂,171,181,0,"1,407","1,397","106,311",4,16,0,13,25,"106,311",0,
2362,藍天,97,43,0,"2,721","2,775","155,565",0,5,0,7,12,"155,565",0,
2363,矽統,699,642,5,"17,839","17,891","128,747",8,18,0,40,50,"128,747",8,
2364,倫飛,33,14,1,896,914,"13,097",3,0,0,11,8,"13,097",0,
2365,昆盈,109,41,4,"8,740","8,804","55,382",2,0,0,39,37,"55,382",1,
2367,燿華,170,121,1,"23,745","23,793","176,563",19,11,0,391,383,"176,563",2,
2368,金像電,"1,302",402,3,"7,890","8,787","131,816",4,30,0,65,91,"131,816",10,
2369,菱生,202,137,2,"13,339","13,402","95,025",4,0,0,108,104,"95,025",0,
2371,大同,200,248,25,"43,736","43,663","537,708",1,61,0,989,"1,049","537,708",0,
2373,震旦行,0,0,0,45,45,"59,050",0,0,0,0,0,"59,050",0,
