Date,Ranking,StockCode,StockName,Side,Position,BrokerName,BrokerID,BranchID,Buy,Sell,Net,SharePercent
20260108,10,3715,定穎投控,Buy,2,摩根大通,8440,8440,1929,181,1748,2.66
20260108,10,3715,定穎投控,Buy,3,新加坡商瑞銀,1650,1650,3515,2097,1418,2.16
20260108,10,3715,定穎投控,Buy,4,兆豐-南京,7000,0037003000300050,1305,60,1245,1.89
20260108,10,3715,定穎投控,Buy,5,台灣摩根士丹利,1470,1470,1405,199,1206,1.83
20260108,10,3715,定穎投控,Buy,6,台新-城中,9B00,0039004200320045,1117,19,1098,1.67
20260108,10,3715,定穎投控,Buy,7,統一,5850,5850,1567,485,1082,1.64
20260108,10,3715,定穎投控,Buy,8,美林,1440,1440,1417,340,1077,1.64
20260108,10,3715,定穎投控,Buy,9,凱基-台北,9200,9268,3848,2875,973,1.48
20260108,10,3715,定穎投控,Buy,10,富邦-新店,9600,9661,947,83,864,1.31
20260108,10,3715,定穎投控,Buy,11,富邦證券,9600,9600,1048,287,761,1.16
20260108,10,3715,定穎投控,Buy,12,港商野村,1560,1560,713,0,713,1.08
20260108,10,3715,定穎投控,Buy,13,康和,8450,8450,648,42,606,0.92
20260108,10,3715,定穎投控,Buy,14,元大證券,9800,9800,6587,6004,583,0.89
20260108,10,3715,定穎投控,Buy,15,凱基,9200,9200,640,188,452,0.69
20260108,10,3715,定穎投控,Sell,1,新光,8560,8560,420,2215,1795,2.73
20260108,10,3715,定穎投控,Sell,2,國泰-敦南,8880,8888,1158,1836,678,1.03
20260108,10,3715,定穎投控,Sell,3,華南永昌-古亭,9300,9309,18,457,439,0.67
20260108,10,3715,定穎投控,Sell,4,國票-天祥,7790,0037003700390056,12,437,425,0.65
20260108,10,3715,定穎投控,Sell,5,富邦-新竹,9600,9647,28,420,392,0.6
20260108,10,3715,定穎投控,Sell,6,富邦-永和,9600,9654,90,457,367,0.56
20260108,10,3715,定穎投控,Sell,7,元大-竹科,9800,003900380030004b,113,420,307,0.47
20260108,10,3715,定穎投控,Sell,8,聯邦-忠孝,8580,8583,12,316,304,0.46
20260108,10,3715,定穎投控,Sell,9,合庫證券,1020,1020,101,371,270,0.41
